Date,ViaNumber,Day,numbMales,ct,sd,y,se,Initials,Notes
26-Oct,14,V,1,0,0,1,1,UHA,
26-Oct,14,V,2,1,1,1,1,UHA,
26-Oct,13,V,2,0,1,1,1,UHA,
26-Oct,13,V,2,0,1,0,1,UHA,
26-Oct,13,V,1,0,0,0,0,UHA,
26-Oct,13,V,1,0,0,0,1,UHA,
26-Oct,11,V,1,1,1,1,0,UHA,
26-Oct,11,V,1,1,1,1,1,UHA,
26-Oct,11,V,1,0,0,1,0,UHA,
26-Oct,9,V,2,0,0,0,1,UHA,
26-Oct,9,V,1,0,0,0,0,UHA,
26-Oct,8,V,1,1,1,1,1,UHA,
26-Oct,8,V,1,0,0,1,1,UHA,
26-Oct,8,V,1,1,1,0,1,UHA,
26-Oct,8,V,1,1,1,0,0,UHA,
26-Oct,6,V,3,0,1,1,0,UHA,
26-Oct,6,V,1,0,0,1,0,UHA,
26-Oct,6,V,1,0,0,1,1,UHA,
26-Oct,6,V,1,1,1,1,1,UHA,
26-Oct,6,V,1,1,1,1,0,UHA,
26-Oct,5,V,2,0,0,0,0,UHA,
26-Oct,5,V,1,1,1,0,1,UHA,
26-Oct,5,V,1,1,1,1,1,UHA,
26-Oct,4,V,1,0,0,1,0,AKT,
26-Oct,4,V,1,0,0,1,1,AKT,
26-Oct,19,V,1,0,0,0,1,AKT,
26-Oct,19,V,2,0,1,0,1,AKT,
26-Oct,19,V,1,0,0,1,1,AKT,
26-Oct,19,V,1,1,1,1,0,AKT,
26-Oct,19,V,2,1,1,1,1,AKT,
26-Oct,18,V,1,0,0,0,1,AKT,
26-Oct,18,V,1,0,0,1,1,AKT,
26-Oct,18,V,1,1,1,1,1,AKT,
26-Oct,20,V,1,1,1,0,1,AKT,
26-Oct,20,V,1,1,1,1,0,AKT,
26-Oct,20,V,1,1,1,1,1,AKT,
26-Oct,21,V,1,0,0,0,0,AKT,WT
26-Oct,21,V,1,0,0,1,1,AKT,
27-Oct,9,V,3,1,1,1,0,AKT,
27-Oct,9,V,1,1,1,1,1,AKT,
27-Oct,9,V,1,1,1,0,0,AKT,
27-Oct,9,V,1,0,0,0,0,AKT,
27-Oct,8,V,3,1,1,1,1,AKT,
27-Oct,8,V,1,0,1,0,1,AKT,
27-Oct,8,V,1,0,0,1,1,AKT,
27-Oct,8,V,2,0,0,0,0,AKT,
27-Oct,8,V,1,0,0,1,0,AKT,
27-Oct,6,V,2,1,1,1,0,AKT,
27-Oct,6,V,3,1,1,1,1,AKT,
27-Oct,6,V,1,0,0,1,1,AKT,
27-Oct,6,V,4,0,0,0,0,AKT,
27-Oct,6,V,1,0,0,0,0,AKT,
27-Oct,5,V,3,0,1,1,1,UHA,
27-Oct,5,V,1,1,1,1,1,UHA,
27-Oct,5,V,1,0,0,1,1,UHA,
27-Oct,5,V,1,0,0,1,0,UHA,
27-Oct,4,V,3,0,0,1,1,UHA,
27-Oct,4,V,4,1,1,1,0,UHA,
27-Oct,4,V,3,1,1,1,1,UHA,
27-Oct,4,V,1,0,0,1,0,UHA,
27-Oct,4,V,5,0,0,0,0,UHA,
27-Oct,4,V,2,1,1,0,0,UHA,
27-Oct,3,V,1,0,1,1,1,UHA,
27-Oct,3,V,1,0,0,1,1,UHA,
27-Oct,3,V,1,1,1,1,1,UHA,
27-Oct,2,V,1,0,0,0,1,UHA,
27-Oct,2,V,6,0,0,1,1,UHA,
27-Oct,2,V,4,1,1,1,0,UHA,
27-Oct,2,V,5,1,1,0,0,UHA,
27-Oct,2,V,3,0,0,0,1,UHA,
27-Oct,2,V,1,0,0,1,0,UHA,
27-Oct,2,V,2,1,1,1,1,UHA,
27-Oct,11,V,5,1,1,1,0,UHA,
27-Oct,11,V,6,0,0,0,0,UHA,
27-Oct,11,V,2,1,1,1,1,UHA,
27-Oct,11,V,2,0,0,1,0,UHA,
27-Oct,11,V,3,0,0,0,1,UHA,
27-Oct,14,V,2,0,0,0,0,UHA,
27-Oct,14,V,1,0,0,0,1,UHA,
27-Oct,14,V,1,1,1,0,1,UHA,
27-Oct,14,V,1,1,1,0,0,UHA,
27-Oct,14,V,1,0,0,1,0,UHA,
27-Oct,14,V,1,1,1,1,1,UHA,
27-Oct,19,V,2,0,0,1,0,UHA,
27-Oct,19,V,1,1,1,0,0,UHA,
27-Oct,19,V,2,0,0,0,1,UHA,
27-Oct,20,V,1,1,1,0,1,UHA,
27-Oct,20,V,1,0,0,1,1,UHA,
27-Oct,20,V,1,0,0,1,0,UHA,
27-Oct,20,V,1,0,0,0,0,UHA,
27-Oct,20,V,3,1,1,1,0,UHA,
27-Oct,20,V,1,1,1,0,0,UHA,
27-Oct,20,V,2,0,0,0,1,UHA,
27-Oct,20,V,1,1,1,1,1,UHA,
27-Oct,21,V,1,1,1,1,0,UHA,
27-Oct,21,V,1,1,1,0,0,UHA,
27-Oct,22,V,3,0,0,0,1,UHA,
27-Oct,22,V,1,1,1,1,0,UHA,
27-Oct,23,V,1,1,1,1,0,UHA,
27-Oct,23,V,1,0,0,0,1,UHA,
27-Oct,47,V,1,0,0,0,0,AKT,WT
27-Oct,47,V,3,1,1,1,0,AKT,
27-Oct,41,V,1,0,0,0,0,AKT,WT
27-Oct,34,V,1,1,1,0,0,AKT,
27-Oct,26,V,1,0,0,1,0,AKT,
27-Oct,49,V,1,1,1,1,0,AKT,
27-Oct,55,V,1,0,0,0,0,AKT,WT
27-Oct,55,V,1,0,0,1,0,AKT,
